Receive Frequency,Transmit Frequency,tone,name,Operation Mode
26.96500,26.96500,CSQ,CB Ch 01,AM
26.97500,26.97500,CSQ,CB Ch 02,AM
26.98500,26.98500,CSQ,CB Ch 03,AM
27.00500,27.00500,CSQ,CB Ch 04,AM
27.01500,27.01500,CSQ,CB Ch 05,AM
27.02500,27.02500,CSQ,CB Ch 06,AM
27.03500,27.03500,CSQ,CB Ch 07,AM
27.05500,27.05500,CSQ,CB Ch 08,AM
27.06500,27.06500,CSQ,CB Ch 09 Emergency or Traveler's Aid,AM
27.07500,27.07500,CSQ,CB Ch 10,AM
27.08500,27.08500,CSQ,CB Ch 11,AM
27.10500,27.10500,CSQ,CB Ch 12,AM
27.11500,27.11500,CSQ,CB Ch 13,AM
27.12500,27.12500,CSQ,CB Ch 14,AM
27.13500,27.13500,CSQ,CB Ch 15,AM
27.15500,27.15500,CSQ,CB Ch 16 (SSB mode also used),AM
27.16500,27.16500,CSQ,CB Ch 17,AM
27.17500,27.17500,CSQ,CB Ch 18,AM
27.18500,27.18500,CSQ,CB Ch 19 Highway Traffic,AM
27.20500,27.20500,CSQ,CB Ch 20,AM
27.21500,27.21500,CSQ,CB Ch 21,AM
27.22500,27.22500,CSQ,CB Ch 22,AM
27.23500,27.23500,CSQ,CB Ch 24,AM
27.24500,27.24500,CSQ,CB Ch 25,AM
27.25500,27.25500,CSQ,CB Ch 23,AM
27.26500,27.26500,CSQ,CB Ch 26,AM
27.27500,27.27500,CSQ,CB Ch 27,AM
27.28500,27.28500,CSQ,CB Ch 28,AM
27.29500,27.29500,CSQ,CB Ch 29,AM
27.30500,27.30500,CSQ,CB Ch 30,AM
27.31500,27.31500,CSQ,CB Ch 31,AM
27.32500,27.32500,CSQ,CB Ch 32,AM
27.33500,27.33500,CSQ,CB Ch 33,AM
27.34500,27.34500,CSQ,CB Ch 34,AM
27.35500,27.35500,CSQ,CB Ch 35,AM
27.36500,27.36500,CSQ,CB Ch 36 (SSB mode also used),AM
27.37500,27.37500,CSQ,CB Ch 37 (SSB mode also used),AM
27.38500,27.38500,CSQ,CB Ch 38 (SSB mode also used),AM
27.39500,27.39500,CSQ,CB Ch 39 (SSB mode also used),AM
27.40500,27.40500,CSQ,CB Ch 40 (SSB mode also used),AM